,EX_for_eminimum_0.0,EX_succ_eminimum_0.0,EX_lac__D_eminimum_0.0,EX_ac_eminimum_0.0,EX_etoh_eminimum_0.0,EX_for_emaximum_0.0,EX_ac_emaximum_0.0,EX_succ_emaximum_0.0,EX_lac__D_emaximum_0.0,EX_etoh_emaximum_0.0,EX_succ_eminimum_0.1,EX_ac_eminimum_0.1,EX_for_eminimum_0.1,EX_lac__D_eminimum_0.1,EX_etoh_eminimum_0.1,EX_ac_emaximum_0.1,EX_lac__D_emaximum_0.1,EX_for_emaximum_0.1,EX_succ_emaximum_0.1,EX_etoh_emaximum_0.1,EX_ac_eminimum_0.2,EX_succ_eminimum_0.2,EX_lac__D_eminimum_0.2,EX_for_eminimum_0.2,EX_etoh_eminimum_0.2,EX_succ_emaximum_0.2,EX_ac_emaximum_0.2,EX_for_emaximum_0.2,EX_lac__D_emaximum_0.2,EX_etoh_emaximum_0.2,EX_for_eminimum_0.3,EX_succ_eminimum_0.3,EX_ac_eminimum_0.3,EX_lac__D_eminimum_0.3,EX_etoh_eminimum_0.3,EX_for_emaximum_0.3,EX_ac_emaximum_0.3,EX_succ_emaximum_0.3,EX_lac__D_emaximum_0.3,EX_etoh_emaximum_0.3,EX_for_eminimum_0.4,EX_succ_eminimum_0.4,EX_ac_eminimum_0.4,EX_lac__D_eminimum_0.4,EX_etoh_eminimum_0.4,EX_for_emaximum_0.4,EX_ac_emaximum_0.4,EX_lac__D_emaximum_0.4,EX_succ_emaximum_0.4,EX_etoh_emaximum_0.4,EX_for_eminimum_0.5,EX_ac_eminimum_0.5,EX_succ_eminimum_0.5,EX_lac__D_eminimum_0.5,EX_etoh_eminimum_0.5,EX_lac__D_emaximum_0.5,EX_succ_emaximum_0.5,EX_ac_emaximum_0.5,EX_for_emaximum_0.5,EX_etoh_emaximum_0.5,EX_for_eminimum_0.6,EX_ac_eminimum_0.6,EX_lac__D_eminimum_0.6,EX_succ_eminimum_0.6,EX_etoh_eminimum_0.6,EX_for_emaximum_0.6,EX_succ_emaximum_0.6,EX_lac__D_emaximum_0.6,EX_ac_emaximum_0.6,EX_etoh_emaximum_0.6,EX_succ_eminimum_0.7,EX_lac__D_eminimum_0.7,EX_for_eminimum_0.7,EX_etoh_eminimum_0.7,EX_ac_eminimum_0.7,EX_for_emaximum_0.7,EX_ac_emaximum_0.7,EX_succ_emaximum_0.7,EX_lac__D_emaximum_0.7,EX_etoh_emaximum_0.7,EX_ac_eminimum_0.8,EX_for_eminimum_0.8,EX_succ_eminimum_0.8,EX_lac__D_eminimum_0.8,EX_etoh_eminimum_0.8,EX_ac_emaximum_0.8,EX_lac__D_emaximum_0.8,EX_for_emaximum_0.8,EX_succ_emaximum_0.8,EX_etoh_emaximum_0.8,EX_lac__D_eminimum_0.9,EX_for_eminimum_0.9,EX_succ_eminimum_0.9,EX_ac_eminimum_0.9,EX_etoh_eminimum_0.9,EX_succ_emaximum_0.9,EX_lac__D_emaximum_0.9,EX_ac_emaximum_0.9,EX_for_emaximum_0.9,EX_etoh_emaximum_0.9,EX_lac__D_eminimum_1.0,EX_for_eminimum_1.0,EX_ac_eminimum_1.0,EX_succ_eminimum_1.0,EX_etoh_eminimum_1.0,EX_lac__D_emaximum_1.0,EX_succ_emaximum_1.0,EX_for_emaximum_1.0,EX_ac_emaximum_1.0,EX_etoh_emaximum_1.0
ACALD,0.0,0.0,-6.712000000000001,0.0,0.0,-20.0,0.0,0.0,0.0,-20.0,-1.0304916539338471,-1.0304916539338471,-1.2282991469794826,-7.740898255248241,0.0,-0.11636593987598332,0.0,-19.6633620726798,0.0,-19.67830406584479,-2.060983307867696,-2.060983307867696,-8.76979651049648,-2.4565982939589652,0.0,0.0,-0.23273187975195775,-19.326724145359616,0.0,-19.356608131689576,-3.684897440938453,-3.0914749618015342,-3.0914749618015342,-9.798694765744722,0.0,-18.990086218039405,-0.3490978196279446,0.0,0.0,-19.034912197534368,-4.9131965879179305,-4.12196661573538,-4.12196661573538,-10.827593020992964,0.0,-18.48458215219464,-0.46546375950392793,0.0,0.0,-18.713216263379152,-6.141495734897411,-5.152458269669236,-5.152458269669236,-11.856491276241204,0.0,0.0,0.0,-0.5818296993799095,-16.783727690243282,-18.391520329223937,-7.369794881876896,-6.182949923603067,-12.885389531489439,-6.182949923603067,0.0,-15.082873228291943,-1.323673228291966,0.0,-1.3236732282919537,-18.06982439506873,-7.21344157753693,-13.914287786737683,-8.598094028856377,-1.151618766340609,-7.21344157753693,-13.382018766340602,-3.0626187663406075,-3.06261876634062,-1.1516187663406177,-17.74812846091352,-10.201146457802306,-12.855309537957863,-9.711843151219412,-14.94318604198592,-3.5275643043892773,-4.801564304389267,-3.527564304389262,-11.68116430438925,-4.801564304389236,-17.426432526758305,-15.972084297234154,-16.095509842437878,-15.889800600431673,-16.095509842437888,-5.9035098424379315,-6.540509842437924,-5.9035098424379235,-6.540509842437926,-9.980309842437922,-16.09550984243794,-8.279455380486578,-8.279455380486578,-8.279455380486578,-8.279455380486578,-8.279455380486585,-8.279455380486558,-8.279455380486558,-8.279455380486574,-8.27945538048659,-8.279455380486558
ACALDt,0.0,0.0,0.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.6633620726798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.326724145359616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.990086218039405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.34560000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.287999999999986,0.0,0.0,0.0,0.0,0.0,0.0,-12.230399999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.172799999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.115199999999973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.057599999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACKr,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,-5.664888888888896,0.0,0.0,0.0,0.0,0.0,-0.11595743038298956,0.0,-9.850358527796132,0.0,0.0,-6.568786871752893,0.0,0.0,0.0,-0.2319148607659809,0.0,0.0,-7.186462632394677,-9.70071705559226,0.0,0.0,0.0,0.0,0.0,0.0,-0.34787229114897134,0.0,0.0,-9.551075583388393,-7.804138393036532,0.0,0.0,0.0,0.0,0.0,-0.4638297215319618,0.0,-0.22863411118451982,-9.40143411118452,0.0,-8.421814153678307,0.0,0.0,0.0,0.0,-0.5797871519149504,0.0,0.0,-9.039489914320125,-9.251792638980648,-1.6077926389806532,0.0,0.0,0.0,-0.6957445822979498,0.0,0.0,-2.9869511667767856,-9.102151166776766,0.0,-9.10215116677678,0.0,0.0,-0.8117020126809393,0.0,-1.308509694572912,0.0,-4.3661096945729145,-8.952509694572914,-8.952509694572898,-1.3085096945729058,0.0,0.0,0.0,-0.3669774799371588,-0.9276594430639342,-3.70686822236906,-8.802868222369042,-3.706868222369068,-5.7452682223690505,-8.802868222369074,0.0,-1.0436168734469273,-1.0092267501651442,-1.0436168734469344,-0.4648476347967012,-6.10522675016518,-8.653226750165176,-6.105226750165188,-8.653226750165171,-7.124426750165174,-0.8893349419422041,-8.5035852779613,-8.5035852779613,-8.5035852779613,-8.5035852779613,-8.5035852779613,-8.503585277961323,-8.503585277961323,-8.503585277961307,-8.5035852779613,-8.503585277961323
ACONTa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4293333333333287,0.0,0.0,0.022836315646942648,0.022836315646942648,0.022836315646942648,0.022836315646942648,0.022836315646942648,0.022836315646942648,0.022836315646942648,0.0303073122294389,0.022836315646942648,0.022836315646942648,0.045672631293885296,0.045672631293885296,0.045672631293885296,0.045672631293885296,0.045672631293885296,0.045672631293885296,0.045672631293885296,0.06061462445886359,0.045672631293885296,0.045672631293885296,0.06850894694082799,0.06850894694082799,0.06850894694082799,0.06850894694082799,0.06850894694082799,0.09092193668830961,0.06850894694082799,0.06850894694082799,0.06850894694082799,0.06850894694082799,0.09134526258777059,0.09134526258777059,0.09134526258777059,0.09134526258777059,0.09134526258777059,0.09134526258777059,0.09134526258777059,0.09134526258777059,0.09134526258777059,0.09134526258777059,0.11418157823471331,0.11418157823471331,0.11418157823471331,0.11418157823471331,0.11418157823471331,0.11418157823471331,0.11418157823471331,0.11418157823471331,0.11418157823471331,0.11418157823471331,0.13701789388165597,0.13701789388165597,0.13701789388165597,0.13701789388165597,0.13701789388165597,0.13701789388165597,0.13701789388165597,0.13701789388165597,0.13701789388165597,0.13701789388165597,0.15985420952859852,0.15985420952859852,0.15985420952859852,0.15985420952859852,0.15985420952859852,0.15985420952859852,0.15985420952859852,0.15985420952859852,0.15985420952859852,0.15985420952859852,0.18269052517554119,0.18269052517554119,0.18269052517554119,0.18269052517554119,0.18269052517554119,0.18269052517554119,0.18269052517554119,0.18269052517554119,0.18269052517554119,0.18269052517554119,0.20552684082248396,0.20552684082248396,0.20552684082248396,0.20552684082248396,0.20552684082248396,0.20552684082248396,0.20552684082248396,0.20552684082248396,0.20552684082248396,0.20552684082248396,0.22836315646942662,0.22836315646942662,0.22836315646942662,0.22836315646942662,0.22836315646942662,0.22836315646942662,0.22836315646942662,0.22836315646942662,0.22836315646942662,0.22836315646942662
ACONTb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4293333333333287,0.0,0.0,0.022836315646942648,0.022836315646942648,0.022836315646942648,0.022836315646942648,0.022836315646942648,0.022836315646942648,0.022836315646942648,0.0303073122294389,0.022836315646942648,0.022836315646942648,0.045672631293885296,0.045672631293885296,0.045672631293885296,0.045672631293885296,0.045672631293885296,0.045672631293885296,0.045672631293885296,0.06061462445886359,0.045672631293885296,0.045672631293885296,0.06850894694082799,0.06850894694082799,0.06850894694082799,0.06850894694082799,0.06850894694082799,0.09092193668830961,0.06850894694082799,0.06850894694082799,0.06850894694082799,0.06850894694082799,0.09134526258777059,0.09134526258777059,0.09134526258777059,0.09134526258777059,0.09134526258777059,0.09134526258777059,0.09134526258777059,0.09134526258777059,0.09134526258777059,0.09134526258777059,0.11418157823471331,0.11418157823471331,0.11418157823471331,0.11418157823471331,0.11418157823471331,0.11418157823471331,0.11418157823471331,0.11418157823471331,0.11418157823471331,0.11418157823471331,0.13701789388165597,0.13701789388165597,0.13701789388165597,0.13701789388165597,0.13701789388165597,0.13701789388165597,0.13701789388165597,0.13701789388165597,0.13701789388165597,0.13701789388165597,0.15985420952859852,0.15985420952859852,0.15985420952859852,0.15985420952859852,0.15985420952859852,0.15985420952859852,0.15985420952859852,0.15985420952859852,0.15985420952859852,0.15985420952859852,0.18269052517554119,0.18269052517554119,0.18269052517554119,0.18269052517554119,0.18269052517554119,0.18269052517554119,0.18269052517554119,0.18269052517554119,0.18269052517554119,0.18269052517554119,0.20552684082248396,0.20552684082248396,0.20552684082248396,0.20552684082248396,0.20552684082248396,0.20552684082248396,0.20552684082248396,0.20552684082248396,0.20552684082248396,0.20552684082248396,0.22836315646942662,0.22836315646942662,0.22836315646942662,0.22836315646942662,0.22836315646942662,0.22836315646942662,0.22836315646942662,0.22836315646942662,0.22836315646942662,0.22836315646942662
ACt2r,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,-5.664888888888896,0.0,0.0,0.0,0.0,0.0,-0.11595743038298956,0.0,-9.850358527796132,0.0,0.0,-6.568786871752893,0.0,0.0,0.0,-0.2319148607659809,0.0,0.0,-7.186462632394677,-9.70071705559226,0.0,0.0,0.0,0.0,0.0,0.0,-0.34787229114897134,0.0,0.0,-9.551075583388393,-7.804138393036532,0.0,0.0,0.0,0.0,0.0,-0.4638297215319618,0.0,-0.22863411118451982,-9.40143411118452,0.0,-8.421814153678307,0.0,0.0,0.0,0.0,-0.5797871519149504,0.0,0.0,-9.039489914320125,-9.251792638980648,-1.6077926389806532,0.0,0.0,0.0,-0.6957445822979498,0.0,0.0,-2.9869511667767856,-9.102151166776766,0.0,-9.10215116677678,0.0,0.0,-0.8117020126809393,0.0,-1.308509694572912,0.0,-4.3661096945729145,-8.952509694572914,-8.952509694572898,-1.3085096945729058,0.0,0.0,0.0,-0.3669774799371588,-0.9276594430639342,-3.70686822236906,-8.802868222369042,-3.706868222369068,-5.7452682223690505,-8.802868222369074,0.0,-1.0436168734469273,-1.0092267501651442,-1.0436168734469344,-0.4648476347967012,-6.10522675016518,-8.653226750165176,-6.105226750165188,-8.653226750165171,-7.124426750165174,-0.8893349419422041,-8.5035852779613,-8.5035852779613,-8.5035852779613,-8.5035852779613,-8.5035852779613,-8.503585277961323,-8.503585277961323,-8.503585277961307,-8.5035852779613,-8.503585277961323
ADK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.476444444444451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2690898918973232,0.0,0.0,0.0,0.0,0.0,0.0,2.4892908949057535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7094918979141944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9296929009226247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1498939039310585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKGDH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKGt2r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALCD2x,0.0,0.0,-6.712000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,-1.0304916539338471,-1.0304916539338471,-1.2282991469794826,-7.740898255248241,0.0,-0.11636593987598332,0.0,0.0,0.0,-19.67830406584479,-2.060983307867696,-2.060983307867696,-8.76979651049648,-2.4565982939589652,0.0,0.0,-0.23273187975195775,0.0,0.0,-19.356608131689576,-3.684897440938453,-3.0914749618015342,-3.0914749618015342,-9.798694765744722,0.0,0.0,-0.3490978196279446,0.0,0.0,-19.034912197534368,-4.9131965879179305,-4.12196661573538,-4.12196661573538,-10.827593020992964,0.0,-0.13898215219462884,-0.46546375950392793,0.0,0.0,-18.713216263379152,-6.141495734897411,-5.152458269669236,-5.152458269669236,-11.856491276241204,0.0,0.0,0.0,-0.5818296993799095,-1.4957276902432959,-18.391520329223937,-7.369794881876896,-6.182949923603067,-12.885389531489439,-6.182949923603067,0.0,-2.8524732282919505,-1.323673228291966,0.0,-1.3236732282919537,-18.06982439506873,-7.21344157753693,-13.914287786737683,-8.598094028856377,-1.151618766340609,-7.21344157753693,-4.209218766340607,-3.0626187663406075,-3.06261876634062,-1.1516187663406177,-17.74812846091352,-10.201146457802306,-12.855309537957863,-9.711843151219412,-14.94318604198592,-3.5275643043892773,-4.801564304389267,-3.527564304389262,-5.5659643043892775,-4.801564304389236,-17.426432526758305,-15.972084297234154,-16.095509842437878,-15.889800600431673,-16.095509842437888,-5.9035098424379315,-6.540509842437924,-5.9035098424379235,-6.540509842437926,-6.922709842437925,-16.09550984243794,-8.279455380486578,-8.279455380486578,-8.279455380486578,-8.279455380486578,-8.279455380486585,-8.279455380486558,-8.279455380486558,-8.279455380486588,-8.27945538048659,-8.279455380486558
